comp,normed_rescaled_cond,radius_um,angle_rad,intensity_mWPERmm2
11840_0.9999999971749334,6.332832029428051,0.0,0.0,2.187578125
11850_0.9999999972562797,2.944914718812976,0.0,0.0,2.187578125
11859_0.999999995191708,2.036055971126318,0.0,0.0,2.187578125
11869_0.9999999972183334,3.552317388687112,0.0,0.0,2.187578125
11874_0.9999999973659831,3.6319248177099945,0.0,0.0,2.187578125
11884_0.9999999975247728,3.0169399193205573,0.0,0.0,2.187578125
11895_0.9999999969963885,0.4419778362834887,0.0,0.0,2.187578125
11903_0.9999999972109049,0.3012753478514522,0.0,0.0,2.187578125
11912_0.9999999972403937,0.1497571800120787,0.0,0.0,2.187578125
11917_0.99999999604413,0.1409404636779994,0.0,0.0,2.187578125
11924_0.9999999966889862,0.0851735074521299,0.0,0.0,2.187578125
11940_0.39937404086033146,0.0267054779941535,0.0,0.0,2.187578125
11950_0.9999999157065553,0.0019281122112934,0.0,0.0,2.187578125
11962_0.1913832201451044,2.3764446440093745,0.0,0.0,2.187578125
11970_0.9999999961347574,1.3444691005348783,0.0,0.0,2.187578125
11980_0.9999999971947999,0.8007524967988634,0.0,0.0,2.187578125
11989_0.999999997655249,0.3940836617550816,0.0,0.0,2.187578125
12000_0.9221645268046398,0.0881166942804885,0.0,0.0,2.187578125
12010_0.9999999971033482,0.0428435608588858,0.0,0.0,2.187578125
12015_0.9999999965707077,0.0194388122032374,0.0,0.0,2.187578125
12029_0.999999998071489,0.0125051597828836,0.0,0.0,2.187578125
12040_0.9999999960049634,0.0029827082066494,0.0,0.0,2.187578125
12045_0.9999999971256481,3.6299326452319898,0.0,0.0,2.187578125
12050_0.9999999960492042,2.746756702299533,0.0,0.0,2.187578125
12056_0.9999999970677504,3.708414333916471,0.0,0.0,2.187578125
12087_0.9999999963581737,2.4057976056779142,0.0,0.0,2.187578125
12095_0.999999996430384,2.3485058362595743,0.0,0.0,2.187578125
12104_0.9999999972213294,3.236302045630978,0.0,0.0,2.187578125
12114_0.9999999969857264,2.5482098416108925,0.0,0.0,2.187578125
12153_0.9999999974782178,0.0737010899386434,0.0,0.0,2.187578125
12166_0.9999999913019598,0.0983208835152916,0.0,0.0,2.187578125
12185_0.19162059300937664,0.4335582780522638,0.0,0.0,2.187578125
12204_0.9999999184725579,0.0525472896869693,0.0,0.0,2.187578125
12215_0.9999998014847972,0.0156142081828646,0.0,0.0,2.187578125
12224_0.9999999950077172,2.422173339623692,0.0,0.0,2.187578125
12230_0.9999999964316814,3.7381392649689302,0.0,0.0,2.187578125
12242_0.9999999969355134,4.936907256622338,0.0,0.0,2.187578125
12248_0.999999997990087,7.583137800282512,0.0,0.0,2.187578125
12271_0.9999999971933784,6.343630172129227,0.0,0.0,2.187578125
12292_0.9999999940588844,2.350057827680379,0.0,0.0,2.187578125
12330_0.9999998931115702,0.0118131494374203,0.0,0.0,2.187578125
12350_0.9999999956592034,1.5812976376967611,0.0,0.0,2.187578125
12363_0.9999999978435371,2.525480302766895,0.0,0.0,2.187578125
12372_0.9999999983781598,3.467104055930072,0.0,0.0,2.187578125
12377_0.9999999978640796,2.6032949255544064,0.0,0.0,2.187578125
12387_0.9999996227969258,0.0148607105907899,0.0,0.0,2.187578125
12414_0.999999996682824,0.5266520991034707,0.0,0.0,2.187578125
12431_0.9999999969030734,0.4795193570952679,0.0,0.0,2.187578125
12446_0.9999999990474522,0.6213660640363339,0.0,0.0,2.187578125
12447_0.9999999990475202,0.5960941077689389,0.0,0.0,2.187578125
12448_0.9999999990474646,0.5700879353536296,0.0,0.0,2.187578125
12449_0.9999999990474898,0.5460674075591817,0.0,0.0,2.187578125
12450_0.9999999990474573,0.5212752737437195,0.0,0.0,2.187578125
12451_0.9999999990474892,0.4951621890132512,0.0,0.0,2.187578125
12452_0.9999999990474843,0.4677050410347855,0.0,0.0,2.187578125
12453_0.9999999990474905,0.439300363660121,0.0,0.0,2.187578125
12454_0.9999999990474565,0.4116922353834469,0.0,0.0,2.187578125
12455_0.9999999990474536,0.3846371266797608,0.0,0.0,2.187578125
12467_0.999999996458199,0.511834806449291,0.0,0.0,2.187578125
12486_0.9999999972883218,0.5605537372614222,0.0,0.0,2.187578125
12494_0.9999999969321591,0.4528828507571893,0.0,0.0,2.187578125
12500_0.9999999964360059,0.3602179940983079,0.0,0.0,2.187578125
12505_0.9999999963458363,0.328577092698148,0.0,0.0,2.187578125
12526_0.9999999933538892,0.2672548176360622,0.0,0.0,2.187578125
12540_0.9999999972517397,0.6108262528753532,0.0,0.0,2.187578125
12564_0.9999999972419029,0.1063867753046024,0.0,0.0,2.187578125
12594_0.9999999966513053,0.2519509843049533,0.0,0.0,2.187578125
12601_0.9999999964344782,0.2269197673788361,0.0,0.0,2.187578125
12611_0.9999999992533384,0.4855712677521366,0.0,0.0,2.187578125
12612_0.9999999992533309,0.4669111314568985,0.0,0.0,2.187578125
12613_0.9999999992533276,0.4446817314718911,0.0,0.0,2.187578125
12614_0.9999999992533266,0.4149420467306904,0.0,0.0,2.187578125
12615_0.9999999992533223,0.3826119987926102,0.0,0.0,2.187578125
12616_0.9999999992533699,0.3488305727174479,0.0,0.0,2.187578125
12617_0.9999999992533185,0.3150278354028386,0.0,0.0,2.187578125
12618_0.9999999992533196,0.2826368448110133,0.0,0.0,2.187578125
12619_0.9999999992533117,0.2512732112343841,0.0,0.0,2.187578125
12620_0.9999999992533598,0.2211038529656321,0.0,0.0,2.187578125
12621_0.9999999992532933,0.1924414459704818,0.0,0.0,2.187578125
12622_0.9999999992533734,0.1682292036938702,0.0,0.0,2.187578125
12630_0.9999999271486932,0.0111333156934038,0.0,0.0,2.187578125
12679_0.9999999991872685,0.1492916986530822,0.0,0.0,2.187578125
12680_0.9999999991872607,0.1244207242769792,0.0,0.0,2.187578125
12681_0.9999999991872877,0.1013555378558897,0.0,0.0,2.187578125
12713_0.9999999973967024,0.1094312055088175,0.0,0.0,2.187578125
12724_0.9999999388008255,0.0081783007119923,0.0,0.0,2.187578125
12775_0.9999999991064054,0.1137738040771811,0.0,0.0,2.187578125
12806_0.27419807069892577,0.0960667812684057,0.0,0.0,2.187578125
12839_0.999999991745478,0.1002048426508332,0.0,0.0,2.187578125
12870_0.9999999991809829,0.3231617557617579,0.0,0.0,2.187578125
12871_0.9999999991809886,0.3112581135641382,0.0,0.0,2.187578125
12872_0.9999999991809928,0.300769147713989,0.0,0.0,2.187578125
12873_0.9999999991809823,0.2903689312527954,0.0,0.0,2.187578125
12874_0.999999999181002,0.2768500648822794,0.0,0.0,2.187578125
12875_0.9999999991809752,0.2591839522045151,0.0,0.0,2.187578125
